lon;lat
-94.011000;44.471400
-94.002017;44.471400
-93.993034;44.471400
-94.011000;44.477810
-93.975067;44.471400
-93.984051;44.471400
-93.993034;44.477810
-94.002017;44.477810
-94.011000;44.484219
-93.984051;44.477810
-93.993034;44.484219
-93.975067;44.477810
-94.002017;44.484219
-94.011000;44.490628
-93.984051;44.484219
-93.993034;44.490628
-93.984051;44.490628
-94.002017;44.490628
-94.011000;44.497036
-93.975067;44.484219
-93.984051;44.497036
-93.993034;44.497036
-94.011000;44.503443
-94.002017;44.497036
-93.975067;44.490628
-93.984051;44.503443
-94.011000;44.509850
-93.975067;44.497036
-93.993034;44.503443
-94.011000;44.516255
-93.984051;44.509850
-94.002017;44.503443
-93.975067;44.503443
-93.993034;44.509850
-93.984051;44.516255
-93.975067;44.509850
-94.011000;44.522661
-94.002017;44.509850
-93.993034;44.516255
-93.984051;44.522661
-94.002017;44.516255
-93.975067;44.516255
-94.011000;44.529065
-93.984051;44.529065
-93.993034;44.522661
-94.002017;44.522661
-93.975067;44.522661
-93.993034;44.529065
-93.984051;44.535469
-94.011000;44.535469
-94.002017;44.529065
-93.975067;44.529065
-93.993034;44.535469
-94.011000;44.541872
-93.984051;44.541872
-93.975067;44.535469
-93.993034;44.541872
-94.011000;44.548274
-94.002017;44.535469
-93.984051;44.548274
-93.975067;44.541872
-93.993034;44.548274
-93.984051;44.554675
-93.975067;44.548274
-93.993034;44.554675
-94.011000;44.554675
-94.002017;44.541872
-93.984051;44.561076
-93.975067;44.554675
-94.011000;44.561076
-93.984051;44.567476
-94.002017;44.548274
-93.975067;44.561076
-93.993034;44.561076
-94.011000;44.567476
-94.002017;44.554675
-93.975067;44.567476
-94.011000;44.573876
-93.984051;44.573876
-93.993034;44.567476
-93.975067;44.573876
-94.011000;44.580275
-93.984051;44.580275
-94.002017;44.561076
-93.975067;44.580275
-93.993034;44.573876
-94.002017;44.567476
-94.011000;44.586673
-93.993034;44.580275
-94.002017;44.573876
-93.984051;44.586673
-93.975067;44.586673
-94.011000;44.593070
-93.993034;44.586673
-93.984051;44.593070
-94.002017;44.580275
-94.011000;44.599467
-93.984051;44.599467
-94.002017;44.586673
-93.975067;44.593070
-93.993034;44.593070
-94.011000;44.605863
-93.984051;44.605863
-94.002017;44.593070
-93.993034;44.599467
-94.002017;44.599467
-93.975067;44.599467
-93.984051;44.612258
-93.993034;44.605863
-94.011000;44.612258
-94.002017;44.605863
-93.975067;44.605863
-94.011000;44.618652
-93.993034;44.612258
-93.975067;44.612258
-93.984051;44.618652
-94.002017;44.612258
-94.011000;44.625046
-93.975067;44.618652
-94.011000;44.631439
-94.002017;44.618652
-93.993034;44.618652
-93.984051;44.625046
-93.975067;44.625046
-94.011000;44.637832
-93.993034;44.625046
-93.984051;44.631439
-94.002017;44.625046
-93.975067;44.631439
-93.993034;44.631439
-94.011000;44.644224
-93.975067;44.637832
-93.984051;44.637832
-93.993034;44.637832
-94.002017;44.631439
-93.975067;44.644224
-94.011000;44.650615
-93.993034;44.644224
-93.975067;44.650615
-94.011000;44.657005
-93.984051;44.644224
-93.993034;44.650615
-94.002017;44.637832
-93.975067;44.657005
-94.011000;44.663395
-93.984051;44.650615
-93.993034;44.657005
-93.975067;44.663395
-94.011000;44.669783
-93.984051;44.657005
-94.002017;44.644224
-93.975067;44.669783
-94.011000;44.676172
-93.993034;44.663395
-93.984051;44.663395
-93.975067;44.676172
-94.011000;44.682559
-94.002017;44.650615
-93.984051;44.669783
-93.975067;44.682559
-93.993034;44.669783
-94.011000;44.688946
-93.984051;44.676172
-93.975067;44.688946
-94.002017;44.657005
-94.011000;44.695332
-93.975067;44.695332
-94.002017;44.663395
-93.993034;44.676172
-94.011000;44.701717
-93.984051;44.682559
-93.975067;44.701717
-94.011000;44.708102
-94.002017;44.669783
-93.993034;44.682559
-93.975067;44.708102
-93.984051;44.688946
-93.993034;44.688946
-94.011000;44.714486
-93.975067;44.714486
-93.984051;44.695332
-94.002017;44.676172
-94.011000;44.720869
-93.984051;44.701717
-93.975067;44.720869
-93.993034;44.695332
-94.011000;44.727252
-93.984051;44.708102
-93.975067;44.727252
-94.002017;44.682559
-93.993034;44.701717
-94.011000;44.733634
-93.975067;44.733634
-93.993034;44.708102
-94.002017;44.688946
-93.984051;44.714486
-93.975067;44.740015
-94.011000;44.740015
-93.993034;44.714486
-94.002017;44.695332
-93.993034;44.720869
-94.002017;44.701717
-94.011000;44.746395
-93.975067;44.746395
-93.984051;44.720869
-93.993034;44.727252
-94.002017;44.708102
-93.975067;44.752775
-93.993034;44.733634
-93.984051;44.727252
-94.011000;44.752775
-94.002017;44.714486
-93.975067;44.759154
-93.993034;44.740015
-93.984051;44.733634
-94.011000;44.759154
-94.002017;44.720869
-93.975067;44.765533
-93.984051;44.740015
-93.993034;44.746395
-94.002017;44.727252
-93.984051;44.746395
-93.993034;44.752775
-94.011000;44.765533
-94.002017;44.733634
-93.975067;44.771910
-93.984051;44.752775
-94.002017;44.740015
-93.993034;44.759154
-94.011000;44.771910
-93.984051;44.759154
-94.002017;44.746395
-93.975067;44.778287
-94.011000;44.778287
-93.984051;44.765533
-94.002017;44.752775
-93.975067;44.784663
-93.993034;44.765533
-93.984051;44.771910
-94.011000;44.784663
-94.002017;44.759154
-93.984051;44.778287
-94.002017;44.765533
-93.993034;44.771910
-94.011000;44.791039
-93.975067;44.791039
-93.984051;44.784663
-94.002017;44.771910
-93.984051;44.791039
-94.002017;44.778287
-93.993034;44.778287
-93.975067;44.797414
-94.011000;44.797414
-93.984051;44.797414
-93.993034;44.784663
-93.975067;44.803788
-94.002017;44.784663
-94.011000;44.803788
-93.993034;44.791039
-93.975067;44.810161
-93.984051;44.803788
-94.002017;44.791039
-94.011000;44.810161
-93.993034;44.797414
-93.975067;44.816534
-94.011000;44.816534
-93.993034;44.803788
-94.002017;44.797414
-93.984051;44.810161
-93.975067;44.822906
-94.011000;44.822906
-93.993034;44.810161
-94.002017;44.803788
-93.975067;44.829277
-94.011000;44.829277
-93.984051;44.816534
-94.002017;44.810161
-94.011000;44.835648
-93.993034;44.816534
-93.975067;44.835648
-94.002017;44.816534
-93.993034;44.822906
-94.011000;44.842018
-93.984051;44.822906
-93.975067;44.842018
-94.002017;44.822906
-93.984051;44.829277
-93.993034;44.829277
-94.011000;44.848387
-94.002017;44.829277
-93.993034;44.835648
-93.984051;44.835648
-94.011000;44.854755
-93.993034;44.842018
-93.975067;44.848387
-93.984051;44.842018
-94.011000;44.861123
-94.002017;44.835648
-93.993034;44.848387
-93.984051;44.848387
-94.011000;44.867490
-93.993034;44.854755
-94.002017;44.842018
-93.975067;44.854755
-93.984051;44.854755
-93.993034;44.861123
-94.002017;44.848387
-94.011000;44.873857
-93.993034;44.867490
-93.975067;44.861123
-93.984051;44.861123
-94.002017;44.854755
-94.011000;44.880222
-93.993034;44.873857
-93.984051;44.867490
-94.011000;44.886587
-93.975067;44.867490
-93.993034;44.880222
-93.984051;44.873857
-94.002017;44.861123
-93.993034;44.886587
-93.975067;44.873857
-94.011000;44.892951
-93.984051;44.880222
-93.993034;44.892951
-94.002017;44.867490
-94.011000;44.899315
-93.975067;44.880222
-93.984051;44.886587
-94.002017;44.873857
-94.011000;44.905678
-93.993034;44.899315
-93.975067;44.886587
-94.002017;44.880222
-94.011000;44.912040
-93.984051;44.892951
-93.975067;44.892951
-94.002017;44.886587
-94.011000;44.918401
-93.993034;44.905678
-93.975067;44.899315
-94.002017;44.892951
-94.011000;44.924762
-93.984051;44.899315
-93.993034;44.912040
-94.002017;44.899315
-94.011000;44.931122
-93.975067;44.905678
-93.993034;44.918401
-94.002017;44.905678
-94.011000;44.937482
-93.984051;44.905678
-93.975067;44.912040
-94.002017;44.912040
-94.011000;44.943840
-93.984051;44.912040
-93.975067;44.918401
-93.993034;44.924762
-94.002017;44.918401
-93.975067;44.924762
-93.993034;44.931122
-93.984051;44.918401
-94.011000;44.950198
-93.975067;44.931122
-93.993034;44.937482
-93.984051;44.924762
-94.002017;44.924762
-93.975067;44.937482
-93.984051;44.931122
-93.993034;44.943840
-94.011000;44.956555
-94.002017;44.931122
-94.011000;44.962912
-94.002017;44.937482
-93.975067;44.943840
-93.993034;44.950198
-93.984051;44.937482
-94.011000;44.969268
-94.002017;44.943840
-93.993034;44.956555
-93.975067;44.950198
-93.984051;44.943840
-93.993034;44.962912
-94.002017;44.950198
-94.011000;44.975623
-93.975067;44.956555
-93.984051;44.950198
-93.993034;44.969268
-94.002017;44.956555
-94.011000;44.981977
-93.984051;44.956555
-93.975067;44.962912
-94.002017;44.962912
-93.993034;44.975623
-94.011000;44.988331
-93.984051;44.962912
-94.002017;44.969268
-94.011000;44.994684
-93.993034;44.981977
-93.975067;44.969268
-94.002017;44.975623
-93.984051;44.969268
-94.011000;45.001036
-94.002017;44.981977
-94.011000;45.007388
-93.993034;44.988331
-93.984051;44.975623
-93.975067;44.975623
-94.002017;44.988331
-93.975067;44.981977
-93.993034;44.994684
-93.984051;44.981977
-94.011000;45.013739
-93.975067;44.988331
-94.002017;44.994684
-93.993034;45.001036
-94.011000;45.020089
-93.975067;44.994684
-93.993034;45.007388
-93.984051;44.988331
-94.011000;45.026438
-93.975067;45.001036
-94.002017;45.001036
-93.984051;44.994684
-93.993034;45.013739
-93.975067;45.007388
-94.011000;45.032787
-93.993034;45.020089
-93.975067;45.013739
-94.011000;45.039135
-94.002017;45.007388
-93.984051;45.001036
-93.993034;45.026438
-93.975067;45.020089
-94.011000;45.045482
-93.975067;45.026438
-93.984051;45.007388
-94.002017;45.013739
-93.993034;45.032787
-93.975067;45.032787
-94.002017;45.020089
-93.993034;45.039135
-94.011000;45.051829
-93.975067;45.039135
-93.984051;45.013739
-94.002017;45.026438
-93.993034;45.045482
-93.975067;45.045482
-93.984051;45.020089
-94.011000;45.058175
-93.993034;45.051829
-94.002017;45.032787
-93.984051;45.026438
-93.975067;45.051829
-93.993034;45.058175
-94.002017;45.039135
-93.984051;45.032787
-94.011000;45.064520
-93.975067;45.058175
-94.002017;45.045482
-93.993034;45.064520
-93.975067;45.064520
-94.002017;45.051829
-93.984051;45.039135
-93.993034;45.070865
-94.011000;45.070865
-93.975067;45.070865
-94.002017;45.058175
-93.993034;45.077209
-93.975067;45.077209
-93.984051;45.045482
-94.002017;45.064520
-94.011000;45.077209
-93.993034;45.083552
-93.984051;45.051829
-94.002017;45.070865
-93.975067;45.083552
-94.011000;45.083552
-93.984051;45.058175
-94.002017;45.077209
-93.993034;45.089894
-94.011000;45.089894
-93.984051;45.064520
-94.002017;45.083552
-93.975067;45.089894
-93.993034;45.096236
-93.984051;45.070865
-94.002017;45.089894
-94.011000;45.096236
-93.975067;45.096236
-93.993034;45.102577
-93.975067;45.102577
-94.011000;45.102577
-94.002017;45.096236
-93.993034;45.108917
-93.984051;45.077209
-94.002017;45.102577
-94.011000;45.108917
-93.993034;45.115257
-93.975067;45.108917
-94.002017;45.108917
-94.011000;45.115257
-93.993034;45.121596
-93.984051;45.083552
-93.975067;45.115257
-93.993034;45.127934
-94.002017;45.115257
-93.984051;45.089894
-93.975067;45.121596
-94.011000;45.121596
-93.993034;45.134271
-94.002017;45.121596
-94.011000;45.127934
-93.975067;45.127934
-93.993034;45.140608
-94.002017;45.127934
-93.984051;45.096236
-94.011000;45.134271
-93.975067;45.134271
-94.002017;45.134271
-93.984051;45.102577
-93.975067;45.140608
-93.993034;45.146944
-94.002017;45.140608
-93.984051;45.108917
-94.011000;45.140608
-93.975067;45.146944
-93.984051;45.115257
-94.011000;45.146944
-93.975067;45.153280
-93.993034;45.153280
-94.002017;45.146944
-93.984051;45.121596
-93.975067;45.159614
-94.002017;45.153280
-93.993034;45.159614
-94.011000;45.153280
-93.984051;45.127934
-93.975067;45.165948
-94.002017;45.159614
-93.975067;45.172282
-93.984051;45.134271
-93.993034;45.165948
-94.011000;45.159614
-94.002017;45.165948
-94.011000;45.165948
-93.984051;45.140608
-93.993034;45.172282
-93.975067;45.178614
-94.011000;45.172282
-93.984051;45.146944
-93.993034;45.178614
-94.002017;45.172282
-94.011000;45.178614
-93.975067;45.184946
-93.993034;45.184946
-94.002017;45.178614
-93.984051;45.153280
-94.011000;45.184946
-93.993034;45.191277
-94.011000;45.191277
-93.984051;45.159614
-93.975067;45.191277
-94.002017;45.184946
-93.993034;45.197608
-94.011000;45.197608
-93.975067;45.197608
-93.993034;45.203937
-94.011000;45.203937
-93.984051;45.165948
-93.975067;45.203937
-94.002017;45.191277
-94.011000;45.210266
-93.993034;45.210266
-93.984051;45.172282
-94.011000;45.216595
-93.975067;45.210266
-93.993034;45.216595
-94.002017;45.197608
-94.011000;45.222922
-93.975067;45.216595
-93.993034;45.222922
-93.984051;45.178614
-94.011000;45.229249
-94.002017;45.203937
-93.993034;45.229249
-94.011000;45.235576
-93.984051;45.184946
-93.975067;45.222922
-93.993034;45.235576
-94.002017;45.210266
-94.011000;45.241901
-93.984051;45.191277
-93.975067;45.229249
-93.993034;45.241901
-94.011000;45.248226
-93.975067;45.235576
-93.993034;45.248226
-94.002017;45.216595
-94.011000;45.254550
-93.984051;45.197608
-93.993034;45.254550
-93.984051;45.203937
-94.011000;45.260873
-93.975067;45.241901
-93.993034;45.260873
-94.002017;45.222922
-93.984051;45.210266
-94.011000;45.267196
-93.975067;45.248226
-94.002017;45.229249
-94.011000;45.273518
-93.993034;45.267196
-93.975067;45.254550
-94.002017;45.235576
-93.984051;45.216595
-94.011000;45.279839
-93.993034;45.273518
-93.975067;45.260873
-94.002017;45.241901
-93.975067;45.267196
-94.002017;45.248226
-93.984051;45.222922
-93.975067;45.273518
-94.002017;45.254550
-94.011000;45.286160
-93.975067;45.279839
-93.993034;45.279839
-94.002017;45.260873
-93.993034;45.286160
-93.984051;45.229249
-94.002017;45.267196
-94.011000;45.292480
-93.975067;45.286160
-93.984051;45.235576
-93.993034;45.292480
-94.002017;45.273518
-93.984051;45.241901
-93.975067;45.292480
-93.993034;45.298799
-94.011000;45.298799
-94.002017;45.279839
-93.984051;45.248226
-93.975067;45.298799
-93.993034;45.305118
-93.984051;45.254550
-94.002017;45.286160
-94.011000;45.305118
-93.975067;45.305118
-93.993034;45.311435
-93.984051;45.260873
-94.002017;45.292480
-93.993034;45.317752
-93.984051;45.267196
-93.975067;45.311435
-94.011000;45.311435
-94.002017;45.298799
-93.984051;45.273518
-93.993034;45.324069
-94.011000;45.317752
-93.984051;45.279839
-94.002017;45.305118
-93.993034;45.330385
-94.011000;45.324069
-93.975067;45.317752
-93.984051;45.286160
-93.993034;45.336699
-93.975067;45.324069
-94.011000;45.330385
-93.984051;45.292480
-94.002017;45.311435
-93.993034;45.343014
-93.975067;45.330385
-93.984051;45.298799
-93.993034;45.349327
-94.011000;45.336699
-93.975067;45.336699
-93.984051;45.305118
-94.002017;45.317752
-93.993034;45.355640
-94.011000;45.343014
-93.975067;45.343014
-93.984051;45.311435
-94.002017;45.324069
-93.993034;45.361952
-93.975067;45.349327
-94.011000;45.349327
-93.984051;45.317752
-93.993034;45.368264
-93.975067;45.355640
-94.002017;45.330385
-93.984051;45.324069
-93.975067;45.361952
-94.002017;45.336699
-94.011000;45.355640
-93.993034;45.374574
-94.002017;45.343014
-93.975067;45.368264
-94.011000;45.361952
-93.984051;45.330385
-93.993034;45.380885
-94.002017;45.349327
-93.975067;45.374574
-93.984051;45.336699
-93.993034;45.387194
-93.975067;45.380885
-94.011000;45.368264
-93.984051;45.343014
-94.002017;45.355640
-93.975067;45.387194
-94.002017;45.361952
-93.984051;45.349327
-94.011000;45.374574
-93.975067;45.393502
-93.993034;45.393502
-94.002017;45.368264
-94.011000;45.380885
-93.975067;45.399810
-93.984051;45.355640
-94.002017;45.374574
-93.975067;45.406118
-93.993034;45.399810
-94.002017;45.380885
-94.011000;45.387194
